epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,7895.63,0.69603,1.44488,0.61685,1.09094,0,0.82156,0.74886,0.82107,0.69255,0.82561,0.75016,0.81445,0.68653,0.68259,1.47683,0.63237,1.11358,0,0.0006635,0.0006635,0.0006635
29,8173.94,0.69673,1.43754,0.61107,1.08927,0,0.84399,0.74056,0.82664,0.69421,0.85139,0.73515,0.81693,0.68678,0.68434,1.47071,0.63294,1.11439,0,0.000614,0.000614,0.000614
30,8457.82,0.6864,1.38745,0.59017,1.07798,0,0.84773,0.74646,0.83098,0.70259,0.85194,0.74494,0.82307,0.69394,0.67859,1.46339,0.61905,1.11767,0,0.0005645,0.0005645,0.0005645
31,8727.8,0.66094,1.37538,0.57548,1.09279,0,0.83841,0.73428,0.82627,0.69303,0.84074,0.73471,0.81909,0.68851,0.67876,1.45941,0.63491,1.11451,0,0.000515,0.000515,0.000515
32,8984.66,0.65215,1.32748,0.57157,1.08725,0,0.82754,0.75147,0.8323,0.70089,0.83278,0.74892,0.82299,0.69388,0.67842,1.43293,0.62837,1.11229,0,0.0004655,0.0004655,0.0004655
33,9246.05,0.63878,1.29901,0.54611,1.0698,0,0.83615,0.74741,0.82823,0.70178,0.83692,0.74733,0.82041,0.69421,0.67178,1.43833,0.623,1.10873,0,0.000416,0.000416,0.000416
34,9504.33,0.632,1.27529,0.54296,1.06299,0,0.83354,0.7469,0.83442,0.70482,0.83865,0.74211,0.82628,0.69681,0.67058,1.4316,0.62782,1.10842,0,0.0003665,0.0003665,0.0003665
35,9761.36,0.62039,1.24825,0.53092,1.05789,0,0.83415,0.75308,0.8347,0.70568,0.83488,0.75373,0.82819,0.69926,0.67076,1.42464,0.62003,1.11171,0,0.000317,0.000317,0.000317
36,10020.5,0.62021,1.24376,0.52418,1.05334,0,0.83982,0.74255,0.83383,0.70331,0.84383,0.73962,0.82548,0.69369,0.66656,1.42029,0.63816,1.09858,0,0.0002675,0.0002675,0.0002675
37,10280.6,0.61198,1.22217,0.51389,1.05066,0,0.83507,0.75371,0.83771,0.71301,0.83687,0.75212,0.82928,0.70576,0.65395,1.39722,0.60796,1.09799,0,0.000218,0.000218,0.000218
38,10533.7,0.59901,1.21454,0.50154,1.03863,0,0.86003,0.73449,0.83315,0.70664,0.86054,0.73455,0.82257,0.69887,0.65919,1.40787,0.61056,1.09201,0,0.0001685,0.0001685,0.0001685
39,10791.1,0.59101,1.18488,0.49258,1.03286,0,0.84746,0.74799,0.83428,0.70736,0.85766,0.73776,0.82507,0.69827,0.65598,1.40958,0.61389,1.09343,0,0.000119,0.000119,0.000119
40,11052.6,0.58565,1.18198,0.49058,1.02573,0,0.85271,0.7395,0.83494,0.71023,0.85339,0.73853,0.82611,0.70196,0.65147,1.39576,0.61265,1.09024,0,6.95e-05,6.95e-05,6.95e-05
